year,municipio,income,cpi,real_income
2012,Arroyo Municipio,16114.0,229.58608333333333,21386.326515871133
2013,Arroyo Municipio,16350.0,232.95174999999998,21386.03004699471
2014,Arroyo Municipio,15863.0,236.715,20419.163111054782
2015,Arroyo Municipio,15298.0,237.00175000000002,19668.0587449952
2016,Arroyo Municipio,16387.0,240.00541666666666,20804.47703437249
2017,Arroyo Municipio,15689.0,245.121,19502.627970811693
2018,Arroyo Municipio,16976.0,251.0995,20600.03278912675
2019,Arroyo Municipio,17570.0,255.65258333333335,20941.12306055972
2020,Arroyo Municipio,16206.0,258.85575,19076.399597072887
2021,Arroyo Municipio,14933.0,270.96791666666667,16792.19952239118
2022,Arroyo Municipio,18496.0,292.6254166666667,19259.46259509811
2023,Arroyo Municipio,18931.0,304.70416666666665,18931.0
2010,Añasco Municipio,15244.0,218.0761666666667,21299.486265119907
2011,Añasco Municipio,16291.0,224.923,22069.488576831478
2012,Añasco Municipio,16771.0,229.58608333333333,22258.289809958715
2013,Añasco Municipio,16568.0,232.95174999999998,21671.177114287973
2014,Añasco Municipio,17147.0,236.715,22071.95296383133
2015,Añasco Municipio,17386.0,237.00175000000002,22352.52120149605
2016,Añasco Municipio,17712.0,240.00541666666666,22486.659988576648
2017,Añasco Municipio,18765.0,245.121,23326.331434271237
2018,Añasco Municipio,19379.0,251.0995,23516.024706673383
2019,Añasco Municipio,19919.0,255.65258333333335,23740.821300130283
2020,Añasco Municipio,20167.0,258.85575,23738.970176118037
2021,Añasco Municipio,21189.0,270.96791666666667,23827.088708226525
2022,Añasco Municipio,22673.0,292.6254166666667,23608.877347462123
2023,Añasco Municipio,23591.0,304.70416666666665,23591.0
2010,Barceloneta Municipio,16124.0,218.0761666666667,22529.055138991956
2011,Barceloneta Municipio,16278.0,224.923,22051.877420272715
2012,Barceloneta Municipio,15034.0,229.58608333333333,19952.96219682305
2013,Barceloneta Municipio,14848.0,232.95174999999998,19421.392913625536
2014,Barceloneta Municipio,15228.0,236.715,19601.77872124707
2015,Barceloneta Municipio,15212.0,237.00175000000002,19557.491804737023
2016,Barceloneta Municipio,15549.0,240.00541666666666,19740.575664090913
2017,Barceloneta Municipio,17113.0,245.121,21272.768976002328
2018,Barceloneta Municipio,16889.0,251.0995,20494.460048042045
2019,Barceloneta Municipio,17154.0,255.65258333333335,20445.30591809001
2020,Barceloneta Municipio,17815.0,258.85575,20970.384969878654
2021,Barceloneta Municipio,19051.0,270.96791666666667,21422.90183493433
2022,Barceloneta Municipio,20282.0,292.6254166666667,21119.18362639381
2023,Barceloneta Municipio,21750.0,304.70416666666665,21750.0
2010,Barranquitas Municipio,14751.0,218.0761666666667,20610.648248280224
2011,Barranquitas Municipio,15117.0,224.923,20479.065669140105
2012,Barranquitas Municipio,14907.0,229.58608333333333,19784.409170416468
2013,Barranquitas Municipio,15127.0,232.95174999999998,19786.328839198104
2014,Barranquitas Municipio,15109.0,236.715,19448.59959937759
2015,Barranquitas Municipio,14331.0,237.00175000000002,18424.823498138725
2016,Barranquitas Municipio,14778.0,240.00541666666666,18761.73562055023
2017,Barranquitas Municipio,15694.0,245.121,19508.84335355464
2018,Barranquitas Municipio,15970.0,251.0995,19379.272127848388
2019,Barranquitas Municipio,17036.0,255.65258333333335,20304.665478639465
2020,Barranquitas Municipio,18924.0,258.85575,22275.81056244646
2021,Barranquitas Municipio,20290.0,270.96791666666667,22816.160738586826
2022,Barranquitas Municipio,21262.0,292.6254166666667,22139.635256108133
2023,Barranquitas Municipio,22167.0,304.70416666666665,22167.0
2010,Bayamón Municipio,25294.0,218.0761666666667,35341.72169968138
2011,Bayamón Municipio,25248.0,224.923,34203.57544581924
2012,Bayamón Municipio,24609.0,229.58608333333333,32660.798636531756
2013,Bayamón Municipio,24374.0,232.95174999999998,31881.534945899028
2014,Bayamón Municipio,24597.0,236.715,31661.738324567516
2015,Bayamón Municipio,24430.0,237.00175000000002,31408.725005898334
2016,Bayamón Municipio,24612.0,240.00541666666666,31246.70707084736
2017,Bayamón Municipio,25528.0,245.121,31733.258132378156
2018,Bayamón Municipio,26017.0,251.0995,31571.103503458453
2019,Bayamón Municipio,26420.0,255.65258333333335,31489.156019350474
2020,Bayamón Municipio,26853.0,258.85575,31609.191557460093
2021,Bayamón Municipio,27812.0,270.96791666666667,31274.67040224627
2022,Bayamón Municipio,29403.0,292.6254166666667,30616.67272294927
2023,Bayamón Municipio,30729.0,304.70416666666665,30729.0
2010,Cabo Rojo Municipio,15809.0,218.0761666666667,22088.925371640027
2011,Cabo Rojo Municipio,15681.0,224.923,21243.11892292029
2012,Cabo Rojo Municipio,16003.0,229.58608333333333,21239.00851641341
2013,Cabo Rojo Municipio,17228.0,232.95174999999998,22534.466400588677
2014,Cabo Rojo Municipio,16880.0,236.715,21728.265354258634
2015,Cabo Rojo Municipio,16499.0,237.00175000000002,21212.138922321596
2016,Cabo Rojo Municipio,17088.0,240.00541666666666,21694.447035049558
2017,Cabo Rojo Municipio,16461.0,245.121,20462.283066322347
2018,Cabo Rojo Municipio,16080.0,251.0995,19512.754903932502
2019,Cabo Rojo Municipio,16708.0,255.65258333333335,19913.73273169219
2020,Cabo Rojo Municipio,17261.0,258.85575,20318.26073337499
2021,Cabo Rojo Municipio,18581.0,270.96791666666667,20894.385543799002
2022,Cabo Rojo Municipio,23077.0,292.6254166666667,24029.55332542599
2023,Cabo Rojo Municipio,25720.0,304.70416666666665,25720.0
2010,Caguas Municipio,22951.0,218.0761666666667,32067.994572997046
2011,Caguas Municipio,23177.0,224.923,31397.982735573212
2012,Caguas Municipio,23845.0,229.58608333333333,31646.826099723665
2013,Caguas Municipio,23924.0,232.95174999999998,31292.928614330365
2014,Caguas Municipio,24083.0,236.715,31000.107495652293
2015,Caguas Municipio,23769.0,237.00175000000002,30558.902360425604
2016,Caguas Municipio,24278.0,240.00541666666666,30822.67000918382
2017,Caguas Municipio,24229.0,245.121,30118.50169576114
2018,Caguas Municipio,25006.0,251.0995,30344.275443267175
2019,Caguas Municipio,25136.0,255.65258333333335,29958.79733922761
2020,Caguas Municipio,25823.0,258.85575,30396.758410169885
2021,Caguas Municipio,27062.0,270.96791666666667,30431.293341923934
2022,Caguas Municipio,29279.0,292.6254166666667,30487.554353475214
2023,Caguas Municipio,30113.0,304.70416666666665,30113.0
2010,Camuy Municipio,14985.0,218.0761666666667,20937.601789741657
2011,Camuy Municipio,16899.0,224.923,22893.148822041323
2012,Camuy Municipio,17762.0,229.58608333333333,23573.534291603763
2013,Camuy Municipio,19527.0,232.95174999999998,25541.590747869464
2014,Camuy Municipio,19490.0,236.715,25087.908279295072
2015,Camuy Municipio,17532.0,237.00175000000002,22540.227867515743
2016,Camuy Municipio,17206.0,240.00541666666666,21844.256535876793
2017,Camuy Municipio,17579.0,245.121,21852.04264764477
2018,Camuy Municipio,16831.0,251.0995,20424.078220652238
2019,Camuy Municipio,17000.0,255.65258333333335,20261.75822592574
2020,Camuy Municipio,18571.0,258.85575,21860.287357598456
2021,Camuy Municipio,19745.0,270.96791666666667,22203.306741419263
2022,Camuy Municipio,23263.0,292.6254166666667,24223.230879637074
2023,Camuy Municipio,26094.0,304.70416666666665,26094.0
2010,Canóvanas Municipio,21934.0,218.0761666666667,30647.004181260825
2011,Canóvanas Municipio,21849.0,224.923,29598.93535787803
2012,Canóvanas Municipio,22746.0,229.58608333333333,30188.245186173808
2013,Canóvanas Municipio,21588.0,232.95174999999998,28237.407746453933
2014,Canóvanas Municipio,20494.0,236.715,26380.276668849318
2015,Canóvanas Municipio,20023.0,237.00175000000002,25742.81214871479
2016,Canóvanas Municipio,20426.0,240.00541666666666,25932.27850760313
2017,Canóvanas Municipio,19986.0,245.121,24844.127900098316
2018,Canóvanas Municipio,20673.0,251.0995,25086.267545335613
2019,Canóvanas Municipio,21267.0,255.65258333333335,25347.4595406331
2020,Canóvanas Municipio,21614.0,258.85575,25442.262180126705
2021,Canóvanas Municipio,23517.0,270.96791666666667,26444.931103467046
2022,Canóvanas Municipio,26021.0,292.6254166666667,27095.073323261673
2023,Canóvanas Municipio,27278.0,304.70416666666665,27278.0
2010,Carolina Municipio,28262.0,218.0761666666667,39488.722174286195
2011,Carolina Municipio,28311.0,224.923,38353.03487193395
2012,Carolina Municipio,29470.0,229.58608333333333,39112.26526143243
2013,Carolina Municipio,28674.0,232.95174999999998,37505.99544755513
2014,Carolina Municipio,28660.0,236.715,36891.71119982538
2015,Carolina Municipio,27969.0,237.00175000000002,35958.683163731905
2016,Carolina Municipio,28611.0,240.00541666666666,36323.72566244165
2017,Carolina Municipio,29082.0,245.121,36151.152186063206
2018,Carolina Municipio,29434.0,251.0995,35717.56392054411
2019,Carolina Municipio,29059.0,255.65258333333335,34634.49601689271
2020,Carolina Municipio,29398.0,258.85575,34604.96083887133
2021,Carolina Municipio,30678.0,270.96791666666667,34497.49527542467
2022,Carolina Municipio,32888.0,292.6254166666667,34245.52367147419
2023,Carolina Municipio,35126.0,304.70416666666665,35126.0
2010,Cataño Municipio,18144.0,218.0761666666667,25351.474599470977
2011,Cataño Municipio,18193.0,224.923,24646.136251813583
2012,Cataño Municipio,17780.0,229.58608333333333,23597.423696921232
2013,Cataño Municipio,18977.0,232.95174999999998,24822.183009285545
2014,Cataño Municipio,18625.0,236.715,23974.46340184047
2015,Cataño Municipio,18326.0,237.00175000000002,23561.04357175984
2016,Cataño Municipio,18562.0,240.00541666666666,23565.796223349127
2017,Cataño Municipio,18663.0,245.121,23199.537626315167
2018,Cataño Municipio,18253.0,251.0995,22149.646471485074
2019,Cataño Municipio,17448.0,255.65258333333335,20795.71514858543
2020,Cataño Municipio,18647.0,258.85575,21949.74844419463
2021,Cataño Municipio,20089.0,270.96791666666667,22590.13568642044
2022,Cataño Municipio,22407.0,292.6254166666667,23331.89761939681
2023,Cataño Municipio,24307.0,304.70416666666665,24307.0
2010,Cayey Municipio,19040.0,218.0761666666667,26603.39927104979
2011,Cayey Municipio,20046.0,224.923,27156.403413612657
2012,Cayey Municipio,20912.0,229.58608333333333,27754.180222160674
2013,Cayey Municipio,21223.0,232.95174999999998,27759.98261084824
2014,Cayey Municipio,21058.0,236.715,27106.26847333995
2015,Cayey Municipio,20751.0,237.00175000000002,26678.774154621216
